GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Play-Of-Pro,org.spring.dao.daoImpl,TournamentDaoExtension,61,0,0,0,15,0,3,0,3,0
Play-Of-Pro,org.spring.dao.daoImpl,TournamentDaoImpl,46,0,0,0,13,0,3,0,3,0
Play-Of-Pro,org.spring.models.enums,TournamentStatus,0,44,0,0,0,2,0,1,0,1
Play-Of-Pro,org.spring.models.enums,GameDifficulty,3,56,0,0,1,8,1,2,1,2
Play-Of-Pro,org.spring.utils,DateUti,3,0,0,0,1,0,1,0,1,0
Play-Of-Pro,org.spring.utils,ScannerUtil,9,0,2,0,3,0,2,0,1,0
Play-Of-Pro,org.spring.utils,EntityManagerSingleton,8,34,5,3,3,12,4,4,1,3
Play-Of-Pro,org.spring.utils,InputValidator,237,0,32,0,65,0,25,0,9,0
Play-Of-Pro,org.spring,Main,89,0,6,0,34,0,9,0,4,0
Play-Of-Pro,org.spring.ConsoleUI,PlayerMenu,226,0,19,0,83,0,21,0,9,0
Play-Of-Pro,org.spring.ConsoleUI,TeamMenu,446,0,45,0,144,0,37,0,11,0
Play-Of-Pro,org.spring.ConsoleUI,GameMenu,247,0,19,0,89,0,21,0,9,0
Play-Of-Pro,org.spring.ConsoleUI,TournamentMenu,557,0,53,0,172,0,40,0,10,0
Play-Of-Pro,org.spring.models,Player,54,21,0,0,11,10,5,6,5,6
Play-Of-Pro,org.spring.models,Team,77,22,0,0,19,9,9,5,9,5
Play-Of-Pro,org.spring.models,Game,87,10,2,0,22,5,11,3,10,3
Play-Of-Pro,org.spring.models,Tournament,205,15,4,0,53,6,26,3,24,3
Play-Of-Pro,org.spring.repositories.repositoryImpl,GameRepositoryImpl,173,0,8,0,50,0,10,0,6,0
Play-Of-Pro,org.spring.repositories.repositoryImpl,TeamRepositoryImpl,83,95,17,1,33,31,10,6,1,6
Play-Of-Pro,org.spring.repositories.repositoryImpl,PlayerRepositoryImpl,99,74,7,1,28,22,4,6,0,6
Play-Of-Pro,org.spring.repositories.repositoryImpl,TournamentRepositoryImpl,173,0,18,0,61,0,15,0,6,0
Play-Of-Pro,org.spring.services.serviceImpl,TournamentServiceImpl,5,33,0,0,1,9,1,6,1,6
Play-Of-Pro,org.spring.services.serviceImpl,PlayerServiceImpl,0,30,0,0,0,8,0,6,0,6
Play-Of-Pro,org.spring.services.serviceImpl,TeamServiceImpl,0,30,0,0,0,8,0,6,0,6
Play-Of-Pro,org.spring.services.serviceImpl,GameServiceImpl,3,51,0,4,2,15,0,8,0,6
